sample	batch	rlen
A8_24_2020_12_29	20210108_JDL4L	250
A7_24_2020_12_28	20210108_JDL4L	250
A6_24_2020_12_27	20210108_JDL4L	250
A5_24_2020_12_26	20210108_JDL4L	250
A4_24_2020_12_25	20210108_JDL4L	250
A3_24_2020_12_24	20210108_JDL4L	250
A2_24_2020_12_23	20210108_JDL4L	250
A1_24_2020_12_22	20210108_JDL4L	250
24_2020_12_21_GRAB_Wastewater_NA	20201230_HWKFKDRXX	250
24_2020_12_20_COMP_Wastewater_NA	20201230_HWKFKDRXX	250
C3_12_2021_01_10	20210129_JG6LR	250
B3_12_2021_01_08	20210129_JG6LR	250
A3_12_2021_01_06	20210129_JG6LR	250
H2_12_2021_01_04	20210129_JG6LR	250
C6_12_2021_01_04	20210108_JDL4L	250
C5_12_2021_01_02	20210108_JDL4L	250
G2_12_2021_01_02	20210129_JG6LR	250
C4_12_2020_12_31	20210108_JDL4L	250
F2_12_2020_12_31	20210129_JG6LR	250
C3_12_2020_12_29	20210108_JDL4L	250
B2_12_2020_12_27	20210108_JDL4L	250
E2_12_2020_12_27	20210129_JG6LR	250
B1_12_2020_12_26	20210108_JDL4L	250
A12_12_2020_12_25	20210108_JDL4L	250
D2_12_2020_12_25	20210129_JG6LR	250
A11_12_2020_12_24	20210108_JDL4L	250
A10_12_2020_12_23	20210108_JDL4L	250
C2_12_2020_12_23	20210129_JG6LR	250
A9_12_2020_12_22	20210108_JDL4L	250
A1_12_2020_12_21_NA_NA	20201223_HWKGTDRXX	250
A2_12_2020_12_20_NA_NA	20201223_HWKGTDRXX	250
A3_12_2020_12_19_NA_NA	20201223_HWKGTDRXX	250
B2_12_2020_12_19	20210129_JG6LR	250
A4_12_2020_12_18_NA_NA	20201223_HWKGTDRXX	250
A5_12_2020_12_17_NA_NA	20201223_HWKGTDRXX	250
G1_12_2020_12_17	20210129_JG6LR	250
A6_12_2020_12_16_NA_NA	20201223_HWKGTDRXX	250
A7_12_2020_12_15_NA_NA	20201223_HWKGTDRXX	250
A2_12_2020_12_15	20210129_JG6LR	250
A8_12_2020_12_14_NA_NA	20201223_HWKGTDRXX	250
A9_12_2020_12_13_NA_NA	20201223_HWKGTDRXX	250
F1_12_2020_12_13	20210129_JG6LR	250
A10_12_2020_12_12_NA_NA	20201223_HWKGTDRXX	250
A11_12_2020_12_11_NA_NA	20201223_HWKGTDRXX	250
A12_12_2020_12_10_NA_NA	20201223_HWKGTDRXX	250
E1_12_2020_12_10	20210129_JG6LR	250
B1_12_2020_12_09_NA_NA	20201223_HWKGTDRXX	250
D1_12_2020_12_09	20210129_JG6LR	250
B2_12_2020_12_08_NA_NA	20201223_HWKGTDRXX	250
C1_12_2020_12_08	20210129_JG6LR	250
12_2020_11_5_A	20201215_JGDDY	250
C2_12_2020_10_22	20210108_JDL4L	250
C1_12_2020_10_18	20210108_JDL4L	250
B12_12_2020_10_15	20210108_JDL4L	250
A1_12_2020_10_15	20210129_JG6LR	250
B1_12_2020_10_15_n	20210129_JG6LR	250
B11_12_2020_10_08	20210108_JDL4L	250
B10_12_2020_09_27	20210108_JDL4L	250
G4_10_2021_01_10	20210129_JG6LR	250
F4_10_2021_01_08	20210129_JG6LR	250
E4_10_2021_01_06	20210129_JG6LR	250
C10_10_2021_01_04	20210108_JDL4L	250
D4_10_2021_01_04	20210129_JG6LR	250
C9_10_2021_01_02	20210108_JDL4L	250
C4_10_2021_01_02	20210129_JG6LR	250
C8_10_2020_12_31	20210108_JDL4L	250
B4_10_2020_12_31	20210129_JG6LR	250
C7_10_2020_12_29	20210108_JDL4L	250
A4_10_2020_12_29	20210129_JG6LR	250
B9_10_2020_12_28	20210108_JDL4L	250
B8_10_2020_12_27	20210108_JDL4L	250
B7_10_2020_12_26	20210108_JDL4L	250
B6_10_2020_12_25	20210108_JDL4L	250
H3_10_2020_12_25	20210129_JG6LR	250
B5_10_2020_12_24	20210108_JDL4L	250
B4_10_2020_12_23	20210108_JDL4L	250
G3_10_2020_12_23	20210129_JG6LR	250
B3_10_2020_12_22	20210108_JDL4L	250
B3_10_2020_12_21_NA_NA	20201223_HWKGTDRXX	250
F3_10_2020_12_21	20210129_JG6LR	250
B4_10_2020_12_20_NA_NA	20201223_HWKGTDRXX	250
H1_10_2020_12_20	20210129_JG6LR	250
B5_10_2020_12_19_NA_NA	20201223_HWKGTDRXX	250
E3_10_2020_12_19	20210129_JG6LR	250
B6_10_2020_12_18_NA_NA	20201223_HWKGTDRXX	250
B7_10_2020_12_17_NA_NA	20201223_HWKGTDRXX	250
D3_10_2020_12_17	20210129_JG6LR	250
B8_10_2020_12_16_NA_NA	20201223_HWKGTDRXX	250
B9_10_2020_12_15_NA_NA	20201223_HWKGTDRXX	250
B10_10_2020_12_14_NA_NA	20201223_HWKGTDRXX	250
B11_10_2020_12_13_NA_NA	20201223_HWKGTDRXX	250
B12_10_2020_12_12_NA_NA	20201223_HWKGTDRXX	250
C1_10_2020_12_11_NA_NA	20201223_HWKGTDRXX	250
C2_10_2020_12_10_NA_NA	20201223_HWKGTDRXX	250
C3_10_2020_12_09_NA_NA	20201223_HWKGTDRXX	250
C4_10_2020_12_08_NA_NA	20201223_HWKGTDRXX	250
10_2020_11_5_A	20201215_JGDDY	250
10_2020_10_31_A	20201215_JGDDY	250
10_2020_10_25_A	20201215_JGDDY	250
10_2020_10_18_A	20201215_JGDDY	250
10_2020_10_11_A	20201215_JGDDY	250
10_2020_10_4_A	20201215_JGDDY	250
10_2020_9_27_A	20201215_JGDDY	250
10_2020_9_20_A	20201215_JGDDY	250
10_2020_9_13_A	20201215_JGDDY	250
10_2020_9_6_A	20201215_JGDDY	250
10_2020_8_30_A	20201215_JGDDY	250
10_2020_8_23_A	20201215_JGDDY	250
10_2020_8_16_A	20201215_JGDDY	250
10_2020_8_9_A	20201215_JGDDY	250
10_2020_8_2_A	20201215_JGDDY	250
10_2020_7_23_A	20201215_JGDDY	250
10_2020_7_16_A	20201215_JGDDY	250
10_2020_7_9_A	20201215_JGDDY	250
9_2020_11_5_A	20201215_JGDDY	250
13_2020_11_5_A	20201215_JGDDY	250
14_2020_11_5_A	20201215_JGDDY	250
15_2020_11_5_A	20201215_JGDDY	250
16_2020_11_5_A	20201215_JGDDY	250
17_2020_11_5_A	20201215_JGDDY	250
18_2020_11_5_A	20201215_JGDDY	250
19_2020_11_5_A	20201215_JGDDY	250
20_2020_11_5_A	20201215_JGDDY	250
21_2020_11_5_A	20201215_JGDDY	250
22_2020_11_5_A	20201215_JGDDY	250
23_2020_11_5_A	20201215_JGDDY	250
410279_151220eg17_G2	20201223_HWKGTDRXX	250
410256_141220eg19_B3	20201223_HWKGTDRXX	250
420389_221220eg41_B1	20201230_HWKFKDRXX	250
420394_221220eg44_B3	20201230_HWKFKDRXX	250
Y201278152	20201223_HWKGTDRXX	250
1399677_Spital_Wallis_Tube_1	20201230_HWKFKDRXX	250
703050048_Niederwangen_Tube_1_MCL	20201230_HWKFKDRXX	250
703051814_Niederwangen_Tube_2_MCL	20201230_HWKFKDRXX	250
703052465_Niederwangen_Tube_3_MCL	20201230_HWKFKDRXX	250
703052538_Niederwangen_Tube_4_MCL	20201230_HWKFKDRXX	250
